chromosome,distance_bin_bp,mean_r2,median_r2,n_pairs
1,1737500,0.0371073244953225,0.0121848369271049,191
1,987500,0.0565526032275429,0.0146756443279149,192
1,712500,0.0582593707733525,0.0193608496661031,199
1,12500,0.0737983377918525,0.0180882436081624,299
1,537500,0.0507090339379963,0.0157962776255482,179
1,112500,0.047777113428141,0.0138438844599536,197
1,1362500,0.0442816469955328,0.011695867438847,190
1,1687500,0.0436066281112382,0.0151596174896847,208
1,887500,0.0507808649928288,0.010918966546239,188
1,1262500,0.0484938788615574,0.0156498000444121,192
1,262500,0.0413219739282974,0.0152843535404903,202
1,1787500,0.0379587461181049,0.0164633379239669,168
1,287500,0.063317101654833,0.023211997065181,184
1,437500,0.0589125659393333,0.0168553674073313,196
1,962500,0.0328669668235223,0.0139088821337488,184
1,1037500,0.0468506099770002,0.0109372988783118,170
1,837500,0.0471727250946056,0.0123115488306908,191
1,612500,0.051867079173461,0.0150650315589252,198
1,1187500,0.0410407399303089,0.0101302851611256,183
1,337500,0.0544100307971853,0.0160180854317507,165
1,1712500,0.0513459317367313,0.0142467923685302,176
1,787500,0.0328551596773154,0.0109880751154435,176
1,562500,0.0424293532378634,0.0140552768168599,209
1,762500,0.0593996299580442,0.0164427656271804,176
1,587500,0.0381190869887506,0.0133126856373525,204
1,637500,0.046796135931443,0.0117224880382775,217
1,1837500,0.0366274559449546,0.0137340708412464,164
1,162500,0.0572086586201103,0.0182929428771258,214
1,412500,0.0423587724599635,0.0118727024660173,190
1,912500,0.0450698806675465,0.0111471310441044,187
1,1762500,0.0455013997471431,0.0132630335747141,176
1,1162500,0.0357528416142708,0.0122577387688222,189
1,1487500,0.0341746978120649,0.0127306891105201,162
1,362500,0.0321973876015818,0.00971106512407042,182
1,1012500,0.0441770761831425,0.0110129703831253,174
1,1462500,0.0356834774483929,0.0129665684230083,190
1,1637500,0.0319386498125484,0.0108022228555144,185
1,1287500,0.0382875868088449,0.0148247978436656,161
1,1537500,0.0469147818106039,0.0128634713767174,178
1,1962500,0.0337133187548507,0.0105471399436264,186
1,1437500,0.0346395600796278,0.0111780750786554,192
1,462500,0.0477367560474781,0.0140535407907252,194
1,812500,0.0360338850033507,0.0118659611992946,181
1,1062500,0.0332420345094691,0.0116165760920169,191
1,1987500,0.0349480979222302,0.0127416126867377,196
1,1887500,0.0323767324513914,0.0151333980148951,171
1,1937500,0.0408691218841041,0.0152325512471743,171
1,512500,0.0440027826674919,0.0171943824612279,197
1,1337500,0.0459225918240845,0.0114860014357502,183
1,737500,0.0394361013099782,0.0143525662763329,179
1,212500,0.0574797193595428,0.0199427241235165,176
1,1912500,0.0336392720955225,0.0147367319509326,188
1,387500,0.0478546651241276,0.0150334843782314,210
1,1562500,0.0416979491758377,0.0157730243536928,204
1,1612500,0.0349337982662153,0.0127232799709023,170
1,87500,0.0579405502612336,0.0128540199042977,221
1,862500,0.0555107456156023,0.0135719238479974,167
1,1112500,0.0415185243251313,0.0137784124206792,164
1,62500,0.0563039080070185,0.0169079265653248,214
1,312500,0.0765238836806233,0.0192701403383487,189
1,187500,0.0564968258435039,0.0147085517396445,201
1,1662500,0.0478966790469388,0.0136992865790617,179
1,1312500,0.0503577438872431,0.0138898147132935,163
1,487500,0.0440429115585437,0.0141365739388836,200
1,937500,0.0439261611136677,0.0158258020163493,196
1,1387500,0.0420633728535819,0.013040971728018,152
1,1212500,0.0518888092140717,0.01869662649143,159
1,37500,0.0777624857823592,0.0186531907098246,210
1,1587500,0.0352710601250506,0.00973819874581614,165
1,662500,0.056248796713522,0.0179500795209129,193
1,1137500,0.0474853549612922,0.0191628649019406,187
1,1812500,0.0336214139204304,0.0142776809325484,212
1,1237500,0.0380935988715236,0.0116740726545376,179
1,1087500,0.0472851620837303,0.0122019559283429,147
1,1512500,0.0346651820423338,0.0135592087677092,188
1,137500,0.0595591896988268,0.0148158367738721,182
1,237500,0.0500704146619471,0.0156492629826284,198
1,687500,0.0491108231615243,0.0102307692307693,191
1,1412500,0.0509205568500043,0.0159842699493234,170
1,1862500,0.0474524171429021,0.0119827247194958,189
2,962500,0.0319006527811932,0.0107115359368711,189
2,1637500,0.0336464902055544,0.0110900035388331,177
2,1687500,0.0375595455078261,0.014119433076514,158
2,1012500,0.0279684242714091,0.00927238403431483,173
2,12500,0.0780132417469617,0.0204873483788792,300
2,462500,0.048305406570537,0.0133404839520799,222
2,1987500,0.031803347771495,0.0126735900647889,143
2,87500,0.0733546433044266,0.014991763667334,202
2,1037500,0.0249615462680312,0.00922572916292817,186
2,537500,0.0418090040510622,0.013016406058698,169
2,1137500,0.0353788747890859,0.0145640617232532,171
2,437500,0.0368314282751371,0.0139203101767329,197
2,512500,0.041295439886651,0.0120034820872742,203
2,1737500,0.0326987959361895,0.0106434796345541,175
2,1212500,0.0312142919494086,0.00900592400203068,198
2,712500,0.0357671572631224,0.011517199017199,183
2,587500,0.0407435648002802,0.0110519852640196,177
2,162500,0.0540553732876956,0.0169878762298109,214
2,1162500,0.0351677639135242,0.0103720234118182,187
2,412500,0.0464270321813523,0.0161164361781964,196
2,312500,0.0423437433298718,0.0146153846153846,197
2,1112500,0.0320477887992289,0.0102779169645042,170
2,687500,0.0472852030184174,0.014888528243473,172
2,487500,0.0355419563415658,0.0141541221985604,192
2,1837500,0.0422650520662879,0.0134969930000983,163
2,762500,0.0386487524458755,0.00964832672440581,168
2,1287500,0.0325520351553576,0.0104061280531868,159
2,1762500,0.0300821376022754,0.00916196043587441,163
2,662500,0.0387372587139649,0.0135854091790196,186
2,37500,0.0648955612972344,0.0173765628311083,211
